"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LYZ",-0.11146972166272,3.55065492587635,-2.20391424598855,0.0323246680098836,0.13680170343903,-4.0373580072994
"A2M",-0.053069657831502,3.77875794509804,-2.20126872343729,0.0325230669234641,0.13680170343903,-4.04257525833205
"IL1A",-0.0845400746985789,2.89917373083143,-2.19958353262736,0.0326500065541152,0.13680170343903,-4.04589598204141
"PDZK1IP1",-0.124513585398392,2.65246499257038,-2.19659454096871,0.0328762335339609,0.136984306391504,-4.0517808091076
"ERBB2",0.0671996880793162,3.19741235567272,2.19413222399393,0.0330636366137314,0.137004019117671,-4.05662381852679
"API5",-0.0193597250788091,3.47136430287385,-2.18609432499023,0.0336819666282383,0.138799313028454,-4.07240242380603
"DEPTOR",-0.0750125435792457,3.1533149170432,-2.18225798474716,0.0339806628179679,0.139265011549049,-4.07991664594883
"PDK1",-0.0508291227227309,3.24751156204786,-2.16808072964671,0.0351048525096461,0.142594494884307,-4.10759220721667
"PIK3R5",-0.0834600843376401,3.16709764966815,-2.16723039876966,0.0351733087381291,0.142594494884307,-4.10924746696523
"HLA-DOA",-0.0839677900632614,3.02711658445823,-2.15708894037235,0.0359988514317591,0.144776541803159,-4.12894798047431
"CCNE1",0.0570190048260368,2.89774334005746,2.15588937055866,0.0360976177562542,0.144776541803159,-4.13127323212046
"TBXAS1",-0.0746319601453806,3.30439709696356,-2.15061249767005,0.0365349219634255,0.145751018471112,-4.14148936955845
"NECTIN1",-0.0772515353864125,3.25189631503457,-2.14516921699015,0.0369908869082401,0.146789233762857,-4.1520061777256
"MET",-0.122354467629574,3.125796376334,-2.14040688635016,0.0373939014357022,0.147607505667246,-4.16118941046497
"TAPBPL",-0.0410458923256094,3.12106971792822,-2.1329039321359,0.0380366615668737,0.14902190516295,-4.17562339934163
"LAIR1",-0.0836108540633425,3.2871368506176,-2.13159701167117,0.0381496077217153,0.14902190516295,-4.1781333592175
"COL11A1",0.159073733327407,2.95767633361029,2.12141430644979,0.0390397283999623,0.151708789119024,-4.19764603405439
"PVR",0.0578715118258755,3.03164215615005,2.10620571464304,0.0404030503643596,0.155765223050596,-4.22664613795051
"PIAS4",0.0311741396264114,3.21923654384267,2.10515279821292,0.040498957993155,0.155765223050596,-4.22864748824614
"CCR5",-0.082120188690133,2.92990877143948,-2.09701201756599,0.0412472232978429,0.157360548071927,-4.24409329682385
"LILRB2",-0.0832781082728595,3.04695194672467,-2.09608307429509,0.0413333706268929,0.157360548071927,-4.24585266879897
"LILRA1",-0.0809571780178593,2.93138511113566,-2.09157264647317,0.0417538910376489,0.158158678172913,-4.2543860181849
"ARG2",-0.0533419724045827,2.96262574498956,-2.08068350448529,0.0427845397617387,0.160815123287669,-4.27492455801598
"RNLS",-0.0834644171516281,2.89057491988282,-2.07964447280134,0.0428840328767118,0.160815123287669,-4.27687967798497
"ISG15",0.0843518503107643,3.48129415514344,2.07507219138249,0.043324254594635,0.161657666397892,-4.28547358953018
"EGFR",0.162450181167793,3.52187015494249,2.06816826776345,0.0439964278436415,0.163353073676887,-4.29842018943919
"IL18R1",-0.143651745727971,2.41539497597948,-2.05871495682482,0.0449315279136173,0.166003181946862,-4.31608928761855
"SGK1",-0.0547564274903372,3.5914514061498,-2.05448528799763,0.0453554830614579,0.166748099490654,-4.32397308401563
"CXCL3",-0.117871033512291,2.9241840430618,-2.0498725592035,0.0458217929252835,0.167343099641868,-4.33255546046284
"ITPK1",-0.0476967062308393,3.44382916582548,-2.04839224388131,0.045972321036967,0.167343099641868,-4.3353063016466
"CTAG1B",0.342414505257052,1.56890645728937,2.04629130414298,0.0461866955011555,0.167343099641868,-4.33920758880621
"PTPRC",-0.0822518247455553,3.12015346724338,-2.00845077665671,0.0501990547945267,0.181006207191803,-4.40890039996624
"TLR5",-0.0739166345700717,2.97672863980741,-1.99922514260731,0.0512217955805852,0.183810271222196,-4.42572605809449
"IL1RN",-0.138106230781563,2.56057135541128,-1.99476631528585,0.0517225101024937,0.184591705097407,-4.43383466119517
"TAP2",0.0428143486843551,3.21801578959082,1.99291363707739,0.0519317997007371,0.184591705097407,-4.43719936378515
"MLH1",0.0213235160734548,3.21410748148581,1.9794417773171,0.0534757427516772,0.189183052187537,-4.46158665570388
"HLA-DRA",-0.056195553267544,3.76976257055237,-1.97062791970742,0.0545071099928363,0.191926443636748,-4.47746620630428
"CASP9",-0.0266634055365933,3.06882902951105,-1.95468860845009,0.0564157543482857,0.19597719406701,-4.506030958368
"CCL7",-0.146007489303041,2.73362703005593,-1.95465280310071,0.0564201056223479,0.19597719406701,-4.50609490350793
"GPSM3",-0.0553550537005743,3.23401928291439,-1.95149209171551,0.0568053504235179,0.19597719406701,-4.51173573297555
"ICAM1",-0.0844940606369606,3.23450160419739,-1.95135998553353,0.0568215012698011,0.19597719406701,-4.51197133031776
"TGFBR2",-0.0616829243225494,3.27505831367485,-1.95019550017847,0.0569640377421443,0.19597719406701,-4.51404748045302
"ARID1A",0.0224163895571956,3.3645773025482,1.94696797987041,0.0573607000435201,0.196440753573699,-4.51979629470459
"CCL3/L1",-0.118012641369167,3.46751408699713,-1.93997220403445,0.0582286181752455,0.198506652870155,-4.53222928875122
"ANGPTL4",-0.0904940328341741,3.34100841327926,-1.93740932997935,0.058549380348934,0.198696992134391,-4.53677453864033
"RASAL1",-0.103958057788728,2.76464885522182,-1.90005000165595,0.0633996309746438,0.214187942481905,-4.60244895849248
"LILRA5",-0.121071123126106,2.75627786454188,-1.89498690514368,0.064082604470653,0.215524454497712,-4.61126528216599
"TRIM21",-0.0469872634595765,3.08580304564253,-1.89173879420357,0.0645240405970812,0.216040314499156,-4.61691057209424
"VCAM1",0.066799066296797,3.26286303567199,1.88212327822904,0.0658460400632335,0.219486800210778,-4.63357384490479
"TNFSF8",-0.0783924828699916,2.88528567237422,-1.87703293150248,0.0665551635593588,0.219960977447721,-4.64236567348617
"IL15",-0.102635183152894,2.65719858019307,-1.87189027175155,0.0672781502173342,0.219960977447721,-4.65122706840905
"SELL",-0.0931458813185904,2.86138462268577,-1.87181868679269,0.0672882609221128,0.219960977447721,-4.65135026998009
"CD96",-0.108529722288736,2.60437768098978,-1.87167551910742,0.0673084858846836,0.219960977447721,-4.65159665712063
"GOT1",-0.0578848345262197,3.23827930188381,-1.86936247314855,0.0676359600573892,0.219960977447721,-4.65557509006997
"ALDOA",-0.0277607752918079,3.7879363156938,-1.86857341683728,0.0677479810538981,0.219960977447721,-4.65693129636706
"CDKN1A",-0.0562325515228057,3.42002581514569,-1.86545385427247,0.0681924023116955,0.220449576438671,-4.66228828008492
"TNFAIP6",0.0612737284562601,3.04666167048566,1.86139152458012,0.0687748357279046,0.221378226591968,-4.66925264847235
"RAD51",0.0654884777806788,2.76709630784728,1.85097663024805,0.0702873480979619,0.225279961852442,-4.68704790661369
